param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
log_lik[7514],0.362307,0.000860347,0.0533286,0.0537896,0.270386,0.363826,0.44758,3872.21,3149.07,1.21657,0.999673,kr,c_t0
log_lik[7515],0.938,0.000474981,0.0300889,0.0300093,0.887926,0.937941,0.986774,4079.79,3166.89,1.28178,1.00051,kr,c_t0
log_lik[7516],-2.48318,0.00168371,0.0992022,0.0995659,-2.63698,-2.48796,-2.31693,3452.7,2855.46,1.08477,1.00108,kr,c_t0
log_lik[7517],-0.181147,0.00096016,0.0585318,0.058509,-0.282143,-0.179258,-0.0878917,3543.23,2580.32,1.11321,1.00061,kr,c_t0
log_lik[7518],-0.35935,0.000683008,0.0378953,0.0385121,-0.424328,-0.35772,-0.298417,2926.96,2083.91,0.91959,1.00076,kr,c_t0
log_lik[7519],-0.637848,0.000642187,0.0380137,0.0385841,-0.702847,-0.636367,-0.576892,3398.23,2560.73,1.06765,1.00066,kr,c_t0
log_lik[7520],-2.85531,0.000729905,0.0441489,0.0435243,-2.92906,-2.85429,-2.78293,3716.91,2707.9,1.16778,1.00041,kr,c_t0
log_lik[7521],-2.75745,0.000939659,0.0516806,0.0499968,-2.83959,-2.75904,-2.6703,3074.51,2775.38,0.965948,1.00032,kr,c_t0
log_lik[7522],-0.773345,0.00130335,0.0856805,0.0858628,-0.915432,-0.77163,-0.635399,4307.32,2938.3,1.35327,1.00149,kr,c_t0
log_lik[7523],-2.13493,0.00206262,0.128202,0.131182,-2.34007,-2.1353,-1.92348,3907.02,2878.49,1.2275,0.999852,kr,c_t0
log_lik[7524],-0.968092,0.00063966,0.0412253,0.0414877,-1.03741,-0.9667,-0.90246,4105.8,2545.4,1.28996,1.0015,kr,c_t0
log_lik[7525],-2.38422,0.000784928,0.0448802,0.0445199,-2.457,-2.38366,-2.30995,3278.39,3485.65,1.03,1.00223,kr,c_t0
log_lik[7526],-0.339364,0.000687393,0.0380676,0.0384352,-0.404512,-0.337792,-0.278078,2911.66,1970.9,0.914783,1.00076,kr,c_t0
log_lik[7527],-0.902022,0.000959333,0.0592039,0.0575902,-1.00032,-0.900319,-0.806323,3827.26,2564.97,1.20245,1.00002,kr,c_t0
log_lik[7528],-1.97721,0.000840647,0.0508345,0.049858,-2.06251,-1.9758,-1.89209,3729.57,3542.03,1.17175,1.00223,kr,c_t0
log_lik[7529],-0.091871,0.000892193,0.0513321,0.0514519,-0.183985,-0.0879124,-0.014262,3036.96,2554.97,0.954149,1.0024,kr,c_t0
log_lik[7530],-1.82292,0.0018131,0.0949623,0.0981766,-1.98173,-1.81801,-1.6723,2708.55,3285.12,0.850971,1.00257,kr,c_t0
log_lik[7531],-0.326828,0.000672245,0.0359974,0.0360596,-0.392694,-0.323959,-0.274436,2445.57,1928.95,0.768346,1.00389,kr,c_t0
log_lik[7532],-2.47145,0.00162086,0.0960043,0.0958637,-2.62087,-2.47606,-2.31099,3503.53,2874.73,1.10074,1.001,kr,c_t0
log_lik[7533],-1.67232,0.0007885,0.0512962,0.0507119,-1.75737,-1.67259,-1.58803,4254.32,2694.18,1.33662,1.00008,kr,c_t0
log_lik[7534],-2.8402,0.000678204,0.0422045,0.041828,-2.91105,-2.83981,-2.77065,3883.48,2746.0,1.22011,1.00029,kr,c_t0
log_lik[7535],-0.125381,0.000945873,0.055085,0.0549016,-0.224671,-0.121231,-0.0425468,3157.33,2860.88,0.991968,1.00213,kr,c_t0
log_lik[7536],-1.26752,0.000681211,0.0450377,0.0459453,-1.34355,-1.26684,-1.1939,4352.35,2687.97,1.36742,1.001,kr,c_t0
log_lik[7537],-0.170681,0.000722065,0.0384359,0.0390707,-0.24051,-0.167489,-0.115984,2369.79,1936.52,0.744537,1.00405,kr,c_t0
log_lik[7538],-2.57964,0.000628981,0.0388733,0.0393484,-2.64339,-2.57946,-2.51619,3928.54,3165.25,1.23426,1.00088,kr,c_t0
log_lik[7539],-0.770463,0.000618405,0.0382485,0.0384017,-0.835887,-0.76782,-0.712474,3764.92,3305.27,1.18286,1.00213,kr,c_t0
log_lik[7540],-2.84293,0.00068768,0.0424955,0.0418608,-2.91417,-2.84246,-2.77265,3829.44,2707.79,1.20313,1.00031,kr,c_t0
log_lik[7541],-2.85366,0.000717071,0.043782,0.0430832,-2.9269,-2.85287,-2.78144,3761.02,2727.23,1.18163,1.00051,kr,c_t0
log_lik[7542],-1.73471,0.000833727,0.0500878,0.0515551,-1.82072,-1.73333,-1.65441,3696.35,3455.77,1.16132,1.00086,kr,c_t0
log_lik[7543],-0.536988,0.00078883,0.0488001,0.0487548,-0.617666,-0.536362,-0.458789,3851.44,2565.73,1.21004,1.00098,kr,c_t0
log_lik[7544],-2.84688,0.000693882,0.0429244,0.042037,-2.9186,-2.84643,-2.77604,3842.38,2707.97,1.2072,1.00039,kr,c_t0
log_lik[7545],-2.01522,0.000883285,0.0504151,0.0515723,-2.10002,-2.01495,-1.93305,3322.04,3228.96,1.04372,1.00092,kr,c_t0
log_lik[7546],-2.29804,0.000906628,0.061044,0.0605221,-2.39997,-2.29811,-2.19676,4575.04,2981.59,1.43738,0.999722,kr,c_t0
log_lik[7547],-2.85416,0.00071919,0.0438571,0.0431746,-2.92759,-2.85337,-2.78174,3754.25,2727.23,1.17951,1.00052,kr,c_t0
log_lik[7548],-2.5318,0.00167627,0.0978318,0.0988314,-2.68185,-2.53762,-2.36524,3359.46,2897.96,1.05547,1.00116,kr,c_t0
log_lik[7549],-1.17121,0.000859108,0.0532944,0.0518301,-1.25924,-1.17027,-1.08438,3871.72,2381.26,1.21641,1.00052,kr,c_t0
log_lik[7550],-0.298184,0.000679329,0.0362046,0.0369001,-0.364287,-0.295348,-0.245447,2417.52,1872.34,0.759534,1.00396,kr,c_t0
log_lik[7551],-2.18038,0.000750137,0.0476068,0.0467628,-2.26016,-2.18061,-2.10054,4043.69,2742.11,1.27044,1.00082,kr,c_t0
log_lik[7552],-1.84917,0.000778206,0.0507174,0.0505382,-1.9328,-1.84987,-1.76498,4260.26,2722.95,1.33849,1.00032,kr,c_t0
