pid,cell,sat,level,accum,v_srdm,v_rdm,s_srdm,s_rdm,ratio_srdm,ratio_rdm
jf,1,speed,1,correct,13.752853383934832,13.931647,1.3804435289202233,1.4455723,9.962633817185012,9.63746123248211
jf,1,speed,1,error,7.454392665059191,3.1159446,1.9934342344398732,2.7186584,3.7394725826777875,1.1461331809836794
jf,2,speed,2,correct,12.679168663483432,12.844236,1.6154123700700673,1.4774737,7.848874317418705,8.693377080079328
jf,2,speed,2,error,9.140070393365399,7.6748776,1.9766935372461538,1.9747313,4.623918792236736,3.8865427412833333
jf,3,speed,3,correct,11.848710893447358,11.879057,1.7478489880271,1.7439476,6.779024374881319,6.811590554670335
jf,3,speed,3,error,10.18942836451438,9.1366943,1.9199409169538417,2.0719348,5.307157253922596,4.409740258235925
jf,4,speed,4,correct,12.982168952465576,13.197849,1.5574112834391456,1.3930521,8.335735775457955,9.474052693363012
jf,4,speed,4,error,8.708097292836555,4.4571422,1.9895404630064395,3.1138654,4.376939024239574,1.4313856340739712
jf,5,speed,5,correct,13.42367825935316,13.631099,1.4617762993080594,1.4008792,9.183127586421628,9.730388601672436
jf,5,speed,5,error,8.020453758180265,3.4309581,1.9977885310994585,3.1597724,4.014666033629849,1.0858244410261952
jf,6,accuracy,1,correct,6.254719608423647,6.1138277,1.9504522401075697,1.5161866,3.206804801371959,4.032371543186043
jf,6,accuracy,1,error,1.1861760667736476,0.43631829,1.0478763808321427,1.1536679,1.1319809172830844,0.37820094500332374
jf,7,accuracy,2,correct,4.700719142411824,4.59267,1.8211654755552291,1.9324839,2.5811598152434163,2.376563137214235
jf,7,accuracy,2,error,1.9038633464405168,1.3397247,1.2949220732837163,1.820282,1.4702532188771964,0.7359984332097994
jf,8,accuracy,3,correct,3.80610479074137,3.7435636,1.7025620711911478,1.9980744,2.2355160232593105,1.8735856883006958
jf,8,accuracy,3,error,2.50312244321341,2.2135737,1.4528119254134244,1.9146394,1.7229500938334465,1.1561308620307302
jf,9,accuracy,4,correct,5.0849820785475215,4.7948639,1.8615514256578354,1.815114,2.731582919741575,2.641632371300095
jf,9,accuracy,4,error,1.694525000902091,0.57158599,1.2307185275388899,1.6963694,1.3768582848026922,0.3369466520676452
jf,10,accuracy,5,correct,5.716352551297208,5.5947592,1.9156152931029264,1.5041828,2.9840817056945825,3.7194676072615644
jf,10,accuracy,5,error,1.3989144905668824,0.20853899,1.129750511448257,1.4953283,1.2382508141320308,0.13946033790706697
kr,1,speed,1,correct,12.229740882333031,12.294195,1.3674272370616776,1.4261924,8.94361363505692,8.620292044747961
