pid,instruction,n_params,n_trials,log_lik_total,AIC,BIC,t0_hi,fit_time_utc,lp__,a,v[1],v[2],v[3],v[4],v[5],z_rel,sv,sz,t0
jf,accuracy,10,3826,-1310.855269675998,2641.710539351996,2704.206290851998,0.234,2026-07-23T10:54:08+00:00,-1317.1645,1.899997,2.2354198,1.3874674,0.010905627,-1.0933109,-1.9014043,0.49041252,2.7419963e-05,0.085548093,0.22129344
jf,speed,10,3909,3200.46552456486,-6380.93104912972,-6318.220680471791,0.2,2026-07-23T10:53:12+00:00,3192.0997,0.87674888,2.9147263,2.2765415,0.074624354,-1.826367,-2.937955,0.46785662,0.0040311575,0.25024724,0.19550502
kr,accuracy,10,3785,-1326.35973979479,2672.71947958958,2735.107491248295,0.238,2026-07-23T10:56:39+00:00,-1333.4412,1.8833813,2.6818315,1.0687531,0.064346675,-0.81217728,-2.320391,0.54607896,0.00021313673,0.039607825,0.2135427
kr,speed,10,3796,3489.1052817192003,-6958.210563438401,-6895.793531841103,0.2,2026-07-23T10:55:24+00:00,3480.5171,0.81727468,2.9661434,1.6445934,-0.54528322,-2.1626456,-3.2283379,0.47551227,0.00029917801,0.25729977,0.19551142
nh,accuracy,10,4187,184.98196876606,-349.96393753212,-286.56653987192857,0.243,2026-07-23T10:58:27+00:00,178.09752,1.6299552,3.0679242,1.7476846,0.44268673,-1.1726462,-2.7399769,0.51668792,0.0012258865,0.1473117,0.22353396
nh,speed,10,4345,3318.47362613928,-6616.94725227856,-6553.179441901565,0.201,2026-07-23T10:57:23+00:00,3309.705,1.1294753,4.0300641,2.8284795,0.74398818,-1.8679976,-3.0242428,0.52417197,1.1310104e-06,0.16896278,0.19575308
