pid,n_levels_requested,n_levels_actual,n_params,n_trials,log_lik_total,AIC,BIC,fit_time_utc,t0_hi,lp__,a[1],a[2],v_base[1],v_base[2],v_base[3],v_base[4],v_base[5],v_base[6],v_base[7],v_base[8],v_base[9],v_base[10],sv,sz,t0,a_full[1],a_full[2],a_full[3],a_full[4],a_full[5],a_full[6],a_full[7],a_full[8],a_full[9],a_full[10],a_full[11],a_full[12],a_full[13],a_full[14],a_full[15],a_full[16],a_full[17],a_full[18],a_full[19],a_full[20],v_full[1],v_full[2],v_full[3],v_full[4],v_full[5],v_full[6],v_full[7],v_full[8],v_full[9],v_full[10],v_full[11],v_full[12],v_full[13],v_full[14],v_full[15],v_full[16],v_full[17],v_full[18],v_full[19],v_full[20],v_base[11],a_full[21],a_full[22],v_full[21],v_full[22],v_base[12],v_base[13],a_full[23],a_full[24],a_full[25],a_full[26],v_full[23],v_full[24],v_full[25],v_full[26],v_base[14],v_base[15],a_full[27],a_full[28],a_full[29],a_full[30],v_full[27],v_full[28],v_full[29],v_full[30],v_base[16],v_base[17],a_full[31],a_full[32],a_full[33],a_full[34],v_full[31],v_full[32],v_full[33],v_full[34],v_base[18],v_base[19],a_full[35],a_full[36],a_full[37],a_full[38],v_full[35],v_full[36],v_full[37],v_full[38],v_base[20],v_base[21],a_full[39],a_full[40],a_full[41],a_full[42],v_full[39],v_full[40],v_full[41],v_full[42],v_base[22],a_full[43],a_full[44],v_full[43],v_full[44],v_base[23],a_full[45],a_full[46],v_full[45],v_full[46]
jf,16,16,21,7158,2549.8069754537,-5057.6139509074,-4913.218247189555,2026-07-23T13:10:39+00:00,0.208,2526.0895,0.81964774,2.2917451,3.0658868,2.9405537,2.7908477,2.5069651,2.0924026,1.5320422,0.83634691,0.09727689,1.2834676,1.7769927,0.5763591,0.11967235,0.20449735,0.81964774,0.81964774,0.81964774,0.81964774,0.81964774,0.81964774,0.81964774,0.81964774,0.81964774,0.81964774,0.81964774,0.81964774,0.81964774,0.81964774,0.81964774,0.81964774,2.2917451,2.2917451,2.2917451,2.2917451,3.0658868,2.9405537,2.7908477,2.5069651,2.0924026,1.5320422,0.83634691,0.09727689,1.2834676,1.7769927,1.9701894,2.2933657,2.4723967,2.4950924,2.6266419,2.7347938,3.0658868,2.9405537,2.7908477,2.5069651,1.9701894,2.2917451,2.2917451,2.0924026,1.5320422,2.2933657,2.4723967,2.2917451,2.2917451,2.2917451,2.2917451,0.83634691,0.09727689,1.2834676,1.7769927,2.4950924,2.6266419,2.2917451,2.2917451,2.2917451,2.2917451,1.9701894,2.2933657,2.4723967,2.4950924,2.7347938,,2.2917451,2.2917451,,,2.6266419,2.7347938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kr,16,16,21,7023,3029.770424825837,-6017.540849651674,-5873.544988772334,2026-07-23T13:11:22+00:00,0.206,3001.0269,0.79087453,2.2716919,4.1548118,3.5414978,2.8918752,2.0601324,1.6279587,1.0137868,0.54926137,0.0011025479,1.1035281,1.7168468,0.78004528,0.12238788,0.20198985,0.79087453,0.79087453,0.79087453,0.79087453,0.79087453,0.79087453,0.79087453,0.79087453,0.79087453,0.79087453,0.79087453,0.79087453,0.79087453,0.79087453,0.79087453,0.79087453,2.2716919,2.2716919,2.2716919,2.2716919,4.1548118,3.5414978,2.8918752,2.0601324,1.6279587,1.0137868,0.54926137,0.0011025479,1.1035281,1.7168468,2.3372011,2.7268602,3.2050828,3.6691446,4.1042798,4.5494035,4.1548118,3.5414978,2.8918752,2.0601324,2.3372011,2.2716919,2.2716919,1.6279587,1.0137868,2.7268602,3.2050828,2.2716919,2.2716919,2.2716919,2.2716919,0.54926137,0.0011025479,1.1035281,1.7168468,3.6691446,4.1042798,2.2716919,2.2716919,2.2716919,2.2716919,2.3372011,2.7268602,3.2050828,3.6691446,4.5494035,,2.2716919,2.2716919,,,4.1042798,4.5494035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh,16,16,21,7879,4856.98993516488,-9671.97987032976,-9525.5687886336,2026-07-23T13:12:16+00:00,0.226,4831.9096,1.0065087,1.9087795,4.1408151,4.02868,3.7973052,3.241125,2.6428218,1.962311,1.4670613,0.72415078,1.653577,2.3946872,0.75196365,0.17571757,0.22327724,1.0065087,1.0065087,1.0065087,1.0065087,1.0065087,1.0065087,1.0065087,1.0065087,1.0065087,1.0065087,1.0065087,1.0065087,1.0065087,1.0065087,1.0065087,1.0065087,1.9087795,1.9087795,1.9087795,1.9087795,4.1408151,4.02868,3.7973052,3.241125,2.6428218,1.962311,1.4670613,0.72415078,1.653577,2.3946872,2.9755182,3.277011,3.5305658,3.7822374,3.7137943,4.1628453,4.1408151,4.02868,3.7973052,3.241125,2.9755182,1.9087795,1.9087795,2.6428218,1.962311,3.277011,3.5305658,1.9087795,1.9087795,1.9087795,1.9087795,1.4670613,0.72415078,1.653577,2.3946872,3.7822374,3.7137943,1.9087795,1.9087795,1.9087795,1.9087795,2.9755182,3.277011,3.5305658,3.7822374,4.1628453,,1.9087795,1.9087795,,,3.7137943,4.1628453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jf,17,17,22,7159,2562.79585211771,-5081.59170423542,-4930.316941356704,2026-07-23T11:53:56+00:00,0.208,2538.7608,0.8192617,2.2956607,3.074038,2.9482347,2.7984608,2.6730128,2.2298,1.5378756,0.83984594,0.097634139,1.06163,1.545351,0.58835423,0.1183359,0.20469374,0.8192617,0.8192617,0.8192617,0.8192617,0.8192617,0.8192617,0.8192617,0.8192617,0.8192617,0.8192617,0.8192617,0.8192617,0.8192617,0.8192617,0.8192617,0.8192617,0.8192617,2.2956607,2.2956607,2.2956607,3.074038,2.9482347,2.7984608,2.6730128,2.2298,1.5378756,0.83984594,0.097634139,1.06163,1.545351,1.7834362,1.9768712,2.3004864,2.4797301,2.5519564,2.6492902,2.7417344,3.074038,2.9482347,2.7984608,1.7834362,2.2956607,2.2956607,2.6730128,2.2298,1.9768712,2.3004864,2.2956607,2.2956607,2.2956607,2.2956607,1.5378756,0.83984594,0.097634139,1.06163,2.4797301,2.5519564,2.2956607,2.2956607,2.2956607,2.2956607,1.545351,1.7834362,1.9768712,2.3004864,2.6492902,2.7417344,2.2956607,2.2956607,2.2956607,2.2956607,2.4797301,2.5519564,2.6492902,2.7417344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kr,17,17,22,7018,3010.056486980576,-5976.1129739611515,-5825.275835726002,2026-07-23T11:54:49+00:00,0.205,2980.8469,0.79586174,2.2761699,4.1447488,3.5355511,2.8878022,2.3379923,1.7234978,1.0127431,0.54798941,0.00048654117,1.1027153,1.6019095,0.77418009,0.11992815,0.20108159,0.79586174,0.79586174,0.79586174,0.79586174,0.79586174,0.79586174,0.79586174,0.79586174,0.79586174,0.79586174,0.79586174,0.79586174,0.79586174,0.79586174,0.79586174,0.79586174,0.79586174,2.2761699,2.2761699,2.2761699,4.1447488,3.5355511,2.8878022,2.3379923,1.7234978,1.0127431,0.54798941,0.00048654117,1.1027153,1.6019095,1.831452,2.3345992,2.928371,3.2808592,3.8253713,4.1666712,4.536768,4.1447488,3.5355511,2.8878022,1.831452,2.2761699,2.2761699,2.3379923,1.7234978,2.3345992,2.928371,2.2761699,2.2761699,2.2761699,2.2761699,1.0127431,0.54798941,0.00048654117,1.1027153,3.2808592,3.8253713,2.2761699,2.2761699,2.2761699,2.2761699,1.6019095,1.831452,2.3345992,2.928371,4.1666712,4.536768,2.2761699,2.2761699,2.2761699,2.2761699,3.2808592,3.8253713,4.1666712,4.536768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh,17,17,22,7878,4880.35130551756,-9716.70261103512,-9563.32236547744,2026-07-23T11:55:41+00:00,0.226,4854.6502,1.0078208,1.9129566,4.1456099,4.0791224,3.8655337,3.6167651,2.7868309,1.963627,1.4682721,0.72416575,1.3241976,2.0494917,0.74733651,0.17304287,0.22320313,1.0078208,1.0078208,1.0078208,1.0078208,1.0078208,1.0078208,1.0078208,1.0078208,1.0078208,1.0078208,1.0078208,1.0078208,1.0078208,1.0078208,1.0078208,1.0078208,1.0078208,1.9129566,1.9129566,1.9129566,4.1456099,4.0791224,3.8655337,3.6167651,2.7868309,1.963627,1.4682721,0.72416575,1.3241976,2.0494917,2.396873,2.9786323,3.4089251,3.5468183,3.8537915,3.575726,4.1674398,4.1456099,4.0791224,3.8655337,2.396873,1.9129566,1.9129566,3.6167651,2.7868309,2.9786323,3.4089251,1.9129566,1.9129566,1.9129566,1.9129566,1.963627,1.4682721,0.72416575,1.3241976,3.5468183,3.8537915,1.9129566,1.9129566,1.9129566,1.9129566,2.0494917,2.396873,2.9786323,3.4089251,3.575726,4.1674398,1.9129566,1.9129566,1.9129566,1.9129566,3.5468183,3.8537915,3.575726,4.1674398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jf,19,19,24,7149,2583.6430820912,-5119.2861641824,-4954.292697803996,2026-07-23T11:56:25+00:00,0.208,2559.1398,0.81980781,2.2982461,3.1329375,2.9659739,2.8776926,2.7019439,2.3579948,2.0982858,1.5364335,0.83875871,0.093429248,1.0603305,0.57769457,0.11353831,0.20474415,0.81980781,0.81980781,0.81980781,0.81980781,0.81980781,0.81980781,0.81980781,0.81980781,0.81980781,0.81980781,0.81980781,0.81980781,0.81980781,0.81980781,0.81980781,0.81980781,0.81980781,0.81980781,0.81980781,2.2982461,3.1329375,2.9659739,2.8776926,2.7019439,2.3579948,2.0982858,1.5364335,0.83875871,0.093429248,1.0603305,1.5440453,1.7821543,1.9759785,2.3000508,2.4944546,2.494665,2.552078,2.6503068,2.7430236,3.1329375,1.5440453,2.2982461,2.2982461,2.9659739,2.8776926,1.7821543,1.9759785,2.2982461,2.2982461,2.2982461,2.2982461,2.7019439,2.3579948,2.0982858,1.5364335,2.3000508,2.4944546,2.2982461,2.2982461,2.2982461,2.2982461,0.83875871,0.093429248,1.0603305,1.5440453,2.494665,2.552078,2.2982461,2.2982461,2.2982461,2.2982461,1.7821543,1.9759785,2.3000508,2.4944546,2.6503068,2.7430236,2.2982461,2.2982461,2.2982461,2.2982461,2.494665,2.552078,2.6503068,2.7430236,,,,,,,,,,,,,,,,,,,,
kr,19,19,24,7018,3013.537994296529,-5979.075988593058,-5814.526383245622,2026-07-23T11:57:39+00:00,0.205,2984.0084,0.79537883,2.2774342,4.2386275,3.6395891,2.9655868,2.5638822,1.8254162,1.6243705,1.0125015,0.54744732,9.7751059e-05,1.1013733,0.77019679,0.12233362,0.20101281,0.79537883,0.79537883,0.79537883,0.79537883,0.79537883,0.79537883,0.79537883,0.79537883,0.79537883,0.79537883,0.79537883,0.79537883,0.79537883,0.79537883,0.79537883,0.79537883,0.79537883,0.79537883,0.79537883,2.2774342,4.2386275,3.6395891,2.9655868,2.5638822,1.8254162,1.6243705,1.0125015,0.54744732,9.7751059e-05,1.1013733,1.6004187,1.8295928,2.3329164,2.7208984,3.1488892,3.2794493,3.8243508,4.1660995,4.5356837,4.2386275,1.6004187,2.2774342,2.2774342,3.6395891,2.9655868,1.8295928,2.3329164,2.2774342,2.2774342,2.2774342,2.2774342,2.5638822,1.8254162,1.6243705,1.0125015,2.7208984,3.1488892,2.2774342,2.2774342,2.2774342,2.2774342,0.54744732,9.7751059e-05,1.1013733,1.6004187,3.2794493,3.8243508,2.2774342,2.2774342,2.2774342,2.2774342,1.8295928,2.3329164,2.7208984,3.1488892,4.1660995,4.5356837,2.2774342,2.2774342,2.2774342,2.2774342,3.2794493,3.8243508,4.1660995,4.5356837,,,,,,,,,,,,,,,,,,,,
nh,19,19,24,7878,4873.22133837393,-9698.44267674786,-9531.11877250312,2026-07-23T11:58:29+00:00,0.226,4847.1587,1.0068533,1.9117009,4.1423027,4.076291,3.862367,3.6132174,2.9122051,2.6422146,1.9608554,1.4657305,0.72311505,1.3216317,0.74261253,0.17794924,0.22321333,1.0068533,1.0068533,1.0068533,1.0068533,1.0068533,1.0068533,1.0068533,1.0068533,1.0068533,1.0068533,1.0068533,1.0068533,1.0068533,1.0068533,1.0068533,1.0068533,1.0068533,1.0068533,1.0068533,1.9117009,4.1423027,4.076291,3.862367,3.6132174,2.9122051,2.6422146,1.9608554,1.4657305,0.72311505,1.3216317,2.0459763,2.3926992,2.9749729,3.2773917,3.5415798,3.5436621,3.8513135,3.5734535,4.1650214,4.1423027,2.0459763,1.9117009,1.9117009,4.076291,3.862367,2.3926992,2.9749729,1.9117009,1.9117009,1.9117009,1.9117009,3.6132174,2.9122051,2.6422146,1.9608554,3.2773917,3.5415798,1.9117009,1.9117009,1.9117009,1.9117009,1.4657305,0.72311505,1.3216317,2.0459763,3.5436621,3.8513135,1.9117009,1.9117009,1.9117009,1.9117009,2.3926992,2.9749729,3.2773917,3.5415798,3.5734535,4.1650214,1.9117009,1.9117009,1.9117009,1.9117009,3.5436621,3.8513135,3.5734535,4.1650214,,,,,,,,,,,,,,,,,,,,
jf,21,21,26,7147,2548.31586731537,-5044.63173463074,-4865.89608748302,2026-07-23T11:59:11+00:00,0.207,2523.5174,0.8271905,2.3068057,3.1305038,3.0499173,2.8612952,2.7386039,2.6732399,2.3595181,2.1002592,1.538698,0.84018362,0.097925734,0.58126693,0.11200407,0.20330647,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,0.8271905,3.1305038,3.0499173,2.8612952,2.7386039,2.6732399,2.3595181,2.1002592,1.538698,0.84018362,0.097925734,1.0618841,1.545663,1.7837772,1.9779726,2.3011364,2.4944297,2.4812638,2.6294087,2.6497705,2.7417304,1.0618841,0.8271905,2.3068057,2.0,3.1305038,1.545663,1.7837772,2.3068057,2.3068057,2.3068057,2.3068057,3.0499173,2.8612952,2.7386039,2.6732399,1.9779726,2.3011364,2.3068057,2.3068057,2.3068057,2.3068057,2.3595181,2.1002592,1.538698,0.84018362,2.4944297,2.4812638,2.3068057,2.3068057,2.3068057,2.3068057,0.097925734,1.0618841,1.545663,1.7837772,2.6294087,2.6497705,2.3068057,2.3068057,2.3068057,2.3068057,1.9779726,2.3011364,2.4944297,2.4812638,2.7417304,2.0,2.3068057,2.3068057,2.3068057,2.3068057,2.6294087,2.6497705,2.7417304,2.0,,,,,,,,,,
kr,21,21,26,7014,3010.18270363712,-5968.36540727424,-5790.118158076037,2026-07-23T12:00:21+00:00,0.205,2979.9278,0.79600174,2.2769172,4.2412634,3.7811123,3.1431678,2.8338235,2.3406788,1.8291109,1.6275815,1.0137296,0.54891721,0.00013303962,0.77773003,0.12015197,0.201105,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,0.79600174,4.2412634,3.7811123,3.1431678,2.8338235,2.3406788,1.8291109,1.6275815,1.0137296,0.54891721,0.00013303962,1.104111,1.6035323,1.8338438,2.3369873,2.7254628,3.1531564,3.4713584,3.9970701,4.1689788,4.5388307,1.104111,0.79600174,2.2769172,2.0,4.2412634,1.6035323,1.8338438,2.2769172,2.2769172,2.2769172,2.2769172,3.7811123,3.1431678,2.8338235,2.3406788,2.3369873,2.7254628,2.2769172,2.2769172,2.2769172,2.2769172,1.8291109,1.6275815,1.0137296,0.54891721,3.1531564,3.4713584,2.2769172,2.2769172,2.2769172,2.2769172,0.00013303962,1.104111,1.6035323,1.8338438,3.9970701,4.1689788,2.2769172,2.2769172,2.2769172,2.2769172,2.3369873,2.7254628,3.1531564,3.4713584,4.5388307,2.0,2.2769172,2.2769172,2.2769172,2.2769172,3.9970701,4.1689788,4.5388307,2.0,,,,,,,,,,
nh,21,21,26,7873,4882.909200861018,-9713.818401722036,-9532.56734567924,2026-07-23T12:01:12+00:00,0.226,4855.1387,1.0062978,1.9085503,4.0827951,4.1359411,4.0222686,3.7896434,3.6044395,2.9032802,2.6347621,1.9540156,1.4608428,0.7203079,0.72929101,0.1733425,0.22322098,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,1.0062978,4.0827951,4.1359411,4.0222686,3.7896434,3.6044395,2.9032802,2.6347621,1.9540156,1.4608428,0.7203079,1.3149098,2.0381802,2.3844556,2.9671437,3.2699963,3.5340436,3.5361492,3.7774207,3.8957396,3.5665554,1.3149098,1.0062978,1.9085503,4.1571604,4.0827951,2.0381802,2.3844556,1.9085503,1.9085503,1.9085503,1.9085503,4.1359411,4.0222686,3.7896434,3.6044395,2.9671437,3.2699963,1.9085503,1.9085503,1.9085503,1.9085503,2.9032802,2.6347621,1.9540156,1.4608428,3.5340436,3.5361492,1.9085503,1.9085503,1.9085503,1.9085503,0.7203079,1.3149098,2.0381802,2.3844556,3.7774207,3.8957396,1.9085503,1.9085503,1.9085503,1.9085503,2.9671437,3.2699963,3.5340436,3.5361492,3.5665554,4.1571604,1.9085503,1.9085503,1.9085503,1.9085503,3.7774207,3.8957396,3.5665554,4.1571604,,,,,,,,,,
jf,25,22,27,7139,2576.13732980048,-5098.27465960096,-4912.694803884394,2026-07-23T12:04:14+00:00,0.207,2550.9283,0.82497406,2.3050935,3.1331016,3.0528731,2.8438295,2.8784557,2.739525,2.6743548,2.3593773,2.099708,1.537841,0.83960725,0.57521612,0.10939462,0.20389757,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,0.82497406,3.1331016,3.0528731,2.8438295,2.8784557,2.739525,2.6743548,2.3593773,2.099708,1.537841,0.83960725,0.096970646,1.0613794,1.5451061,1.7833245,1.9773358,2.3012652,2.4951969,2.4955881,2.5033354,2.6904898,0.096970646,0.82497406,0.82497406,2.5765381,2.7902288,1.0613794,1.5451061,2.3050935,2.3050935,2.3050935,2.3050935,3.1331016,3.0528731,2.8438295,2.8784557,1.7833245,1.9773358,2.3050935,2.3050935,2.3050935,2.3050935,2.739525,2.6743548,2.3593773,2.099708,2.3012652,2.4951969,2.3050935,2.3050935,2.3050935,2.3050935,1.537841,0.83960725,0.096970646,1.0613794,2.4955881,2.5033354,2.3050935,2.3050935,2.3050935,2.3050935,1.5451061,1.7833245,1.9773358,2.3012652,2.6904898,2.5765381,2.3050935,2.3050935,2.3050935,2.3050935,2.4951969,2.4955881,2.5033354,2.6904898,2.7902288,2.3050935,2.3050935,2.5765381,2.7902288,,,,,
kr,25,22,27,7008,3024.7734410436906,-5995.546882087381,-5810.467076006743,2026-07-23T12:05:01+00:00,0.205,2993.2045,0.7956634,2.275787,4.2372191,3.7772516,3.4028744,2.9631709,2.8283928,2.3337592,1.8223253,1.6221532,1.0107915,0.54690178,0.76478625,0.11871802,0.20108629,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,0.7956634,4.2372191,3.7772516,3.4028744,2.9631709,2.8283928,2.3337592,1.8223253,1.6221532,1.0107915,0.54690178,0.00054190134,1.0987157,1.5981631,1.8265892,2.3302164,2.7180069,3.1467783,3.2772539,3.8225235,4.0761879,0.00054190134,0.7956634,0.7956634,4.3284953,4.5862809,1.0987157,1.5981631,2.275787,2.275787,2.275787,2.275787,4.2372191,3.7772516,3.4028744,2.9631709,1.8265892,2.3302164,2.275787,2.275787,2.275787,2.275787,2.8283928,2.3337592,1.8223253,1.6221532,2.7180069,3.1467783,2.275787,2.275787,2.275787,2.275787,1.0107915,0.54690178,0.00054190134,1.0987157,3.2772539,3.8225235,2.275787,2.275787,2.275787,2.275787,1.5981631,1.8265892,2.3302164,2.7180069,4.0761879,4.3284953,2.275787,2.275787,2.275787,2.275787,3.1467783,3.2772539,3.8225235,4.0761879,4.5862809,2.275787,2.275787,4.3284953,4.5862809,,,,,
nh,25,22,27,7872,4881.62854092318,-9709.25708184636,-9521.038261000593,2026-07-23T12:05:51+00:00,0.226,4853.6024,1.0066753,1.9093417,4.0861963,4.1381358,4.1002381,3.857413,3.6082713,2.90743,2.638163,1.9578033,1.4641838,0.72208612,0.73807083,0.17112425,0.22322115,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,1.0066753,4.0861963,4.1381358,4.1002381,3.857413,3.6082713,2.90743,2.638163,1.9578033,1.4641838,0.72208612,1.3191982,2.0423569,2.389209,2.9710219,3.2732811,3.5368717,3.5393822,3.8462191,3.3854578,3.8952073,1.3191982,1.0066753,1.0066753,4.2270384,2.0,2.0423569,2.389209,1.9093417,1.9093417,1.9093417,1.9093417,4.0861963,4.1381358,4.1002381,3.857413,2.9710219,3.2732811,1.9093417,1.9093417,1.9093417,1.9093417,3.6082713,2.90743,2.638163,1.9578033,3.5368717,3.5393822,1.9093417,1.9093417,1.9093417,1.9093417,1.4641838,0.72208612,1.3191982,2.0423569,3.8462191,3.3854578,1.9093417,1.9093417,1.9093417,1.9093417,2.389209,2.9710219,3.2732811,3.5368717,3.8952073,4.2270384,1.9093417,1.9093417,1.9093417,1.9093417,3.5393822,3.8462191,3.3854578,3.8952073,2.0,1.9093417,1.9093417,4.2270384,2.0,,,,,
jf,31,23,28,7133,2557.59843957662,-5059.19687915324,-4866.767238049455,2026-07-23T12:21:51+00:00,0.207,2532.1915,0.82830716,2.3085346,3.1106581,3.0736818,3.0563574,2.863995,2.7410361,2.6756806,2.3613004,2.1018911,1.5396549,0.84065625,0.57845666,0.10951257,0.20339,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,0.82830716,3.1106581,3.0736818,3.0563574,2.863995,2.7410361,2.6756806,2.3613004,2.1018911,1.5396549,0.84065625,0.09394404,1.0623278,1.5467347,1.7850387,1.979399,2.3030129,2.4964911,2.496983,2.5047609,2.6317959,0.09394404,0.82830716,0.82830716,2.6520125,2.6778709,1.0623278,1.5467347,0.82830716,2.3085346,2.3085346,2.3085346,2.7909023,3.1106581,3.0736818,3.0563574,1.7850387,1.979399,2.3085346,2.3085346,2.3085346,2.3085346,2.863995,2.7410361,2.6756806,2.3613004,2.3030129,2.4964911,2.3085346,2.3085346,2.3085346,2.3085346,2.1018911,1.5396549,0.84065625,0.09394404,2.496983,2.5047609,2.3085346,2.3085346,2.3085346,2.3085346,1.0623278,1.5467347,1.7850387,1.979399,2.6317959,2.6520125,2.3085346,2.3085346,2.3085346,2.3085346,2.3030129,2.4964911,2.496983,2.5047609,2.6778709,2.3085346,2.3085346,2.6317959,2.6520125,2.7909023,2.3085346,2.3085346,2.6778709,2.7909023
kr,31,23,28,7006,3019.903402965942,-5983.806805931884,-5791.880184226676,2026-07-23T12:22:51+00:00,0.205,2986.7427,0.79588141,2.2744498,4.3884191,3.8935593,3.7043412,3.1387188,2.8293514,2.335266,1.8236192,1.6233519,1.0112709,0.54787742,0.76839785,0.11900913,0.20116855,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,0.79588141,4.3884191,3.8935593,3.7043412,3.1387188,2.8293514,2.335266,1.8236192,1.6233519,1.0112709,0.54787742,0.00011671801,1.1003895,1.5995896,1.8281694,2.3315164,2.7196982,3.1479628,3.2782929,3.6598148,3.993638,0.00011671801,0.79588141,0.79588141,4.1657043,4.3610914,1.1003895,1.5995896,0.79588141,2.2744498,2.2744498,2.2744498,4.7468065,4.3884191,3.8935593,3.7043412,1.8281694,2.3315164,2.2744498,2.2744498,2.2744498,2.2744498,3.1387188,2.8293514,2.335266,1.8236192,2.7196982,3.1479628,2.2744498,2.2744498,2.2744498,2.2744498,1.6233519,1.0112709,0.54787742,0.00011671801,3.2782929,3.6598148,2.2744498,2.2744498,2.2744498,2.2744498,1.1003895,1.5995896,1.8281694,2.3315164,3.993638,4.1657043,2.2744498,2.2744498,2.2744498,2.2744498,2.7196982,3.1479628,3.2782929,3.6598148,4.3610914,2.2744498,2.2744498,3.993638,4.1657043,4.7468065,2.2744498,2.2744498,4.3610914,4.7468065
nh,31,23,28,7864,4883.048196196511,-9710.09639239302,-9514.934973861866,2026-07-23T12:23:40+00:00,0.226,4853.1883,1.006004,1.9073484,4.0350484,4.2236665,4.0664906,3.9545245,3.7887507,3.6041103,2.9032536,2.6345643,1.9545377,1.4612203,0.73397237,0.16815807,0.22324669,1.006004,1.006004,1.006004,1.006004,1.006004,1.006004,1.006004,1.006004,1.006004,1.006004,1.006004,1.006004,1.006004,1.006004,1.006004,1.006004,1.006004,1.006004,1.006004,1.006004,4.0350484,4.2236665,4.0664906,3.9545245,3.7887507,3.6041103,2.9032536,2.6345643,1.9545377,1.4612203,0.7210971,1.3166838,2.0393957,2.3858241,2.9673334,3.269546,3.5331479,3.5353063,3.775437,3.8935755,0.7210971,1.006004,1.006004,3.5648998,3.9874198,1.3166838,2.0393957,1.006004,1.9073484,1.9073484,1.9073484,4.2227848,4.0350484,4.2236665,4.0664906,2.3858241,2.9673334,1.9073484,1.9073484,1.9073484,1.9073484,3.9545245,3.7887507,3.6041103,2.9032536,3.269546,3.5331479,1.9073484,1.9073484,1.9073484,1.9073484,2.6345643,1.9545377,1.4612203,0.7210971,3.5353063,3.775437,1.9073484,1.9073484,1.9073484,1.9073484,1.3166838,2.0393957,2.3858241,2.9673334,3.8935755,3.5648998,1.9073484,1.9073484,1.9073484,1.9073484,3.269546,3.5331479,3.5353063,3.775437,3.9874198,1.9073484,1.9073484,3.8935755,3.5648998,4.2227848,1.9073484,1.9073484,3.9874198,4.2227848
