pid,n_levels_requested,n_levels_actual,n_params,n_trials,log_lik_total,AIC,BIC,fit_time_utc,t0_hi,lp__,a[1],a[2],v_base[1],v_base[2],v_base[3],v_base[4],v_base[5],v_base[6],v_base[7],v_base[8],v_base[9],v_base[10],sv,sz,t0,a_full[1],a_full[2],a_full[3],a_full[4],a_full[5],a_full[6],a_full[7],a_full[8],a_full[9],a_full[10],a_full[11],a_full[12],a_full[13],a_full[14],a_full[15],a_full[16],a_full[17],a_full[18],a_full[19],a_full[20],v_full[1],v_full[2],v_full[3],v_full[4],v_full[5],v_full[6],v_full[7],v_full[8],v_full[9],v_full[10],v_full[11],v_full[12],v_full[13],v_full[14],v_full[15],v_full[16],v_full[17],v_full[18],v_full[19],v_full[20],v_base[11],a_full[21],a_full[22],v_full[21],v_full[22],v_base[12],v_base[13],a_full[23],a_full[24],a_full[25],a_full[26],v_full[23],v_full[24],v_full[25],v_full[26],v_base[14],v_base[15],a_full[27],a_full[28],a_full[29],a_full[30],v_full[27],v_full[28],v_full[29],v_full[30],v_base[16],v_base[17],a_full[31],a_full[32],a_full[33],a_full[34],v_full[31],v_full[32],v_full[33],v_full[34],v_base[18],v_base[19],a_full[35],a_full[36],a_full[37],a_full[38],v_full[35],v_full[36],v_full[37],v_full[38],v_base[20],v_base[21],a_full[39],a_full[40],a_full[41],a_full[42],v_full[39],v_full[40],v_full[41],v_full[42],v_base[22],a_full[43],a_full[44],v_full[43],v_full[44],v_base[23],a_full[45],a_full[46],v_full[45],v_full[46]
nh,10,10,15,7889,4849.867315260592,-9669.734630521183,-9565.136260574756,2026-07-23T11:40:14+00:00,0.226,4827.2636,1.0052733,1.9112462,4.1124693,3.7732598,2.7953134,1.6903821,0.72751065,1.6648496,2.6591262,3.4151269,3.7506906,3.8827418,0.77761214,0.16879712,0.22345684,1.0052733,1.0052733,1.0052733,1.0052733,1.0052733,1.0052733,1.0052733,1.0052733,1.0052733,1.0052733,1.9112462,1.9112462,1.9112462,1.9112462,1.9112462,1.9112462,1.9112462,1.9112462,1.9112462,1.9112462,4.1124693,3.7732598,2.7953134,1.6903821,0.72751065,1.6648496,2.6591262,3.4151269,3.7506906,3.8827418,4.1124693,3.7732598,2.7953134,1.6903821,0.72751065,1.6648496,2.6591262,3.4151269,3.7506906,3.8827418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jf,11,11,16,7164,2508.36861803165,-4984.7372360633,-4874.70805585241,2026-07-23T11:47:43+00:00,0.207,2484.8836,0.82649849,2.3016751,3.0834966,2.8065287,2.5123093,1.7940093,0.44715944,1.0613554,1.6563523,2.1182601,2.4767565,2.5488089,0.59200508,0.11206008,0.20317587,0.82649849,0.82649849,0.82649849,0.82649849,0.82649849,0.82649849,0.82649849,0.82649849,0.82649849,0.82649849,0.82649849,2.3016751,2.3016751,2.3016751,2.3016751,2.3016751,2.3016751,2.3016751,2.3016751,2.3016751,3.0834966,2.8065287,2.5123093,1.7940093,0.44715944,1.0613554,1.6563523,2.1182601,2.4767565,2.5488089,2.6933855,3.0834966,2.8065287,2.5123093,1.7940093,0.44715944,1.0613554,1.6563523,2.1182601,2.4767565,2.6933855,2.3016751,2.3016751,2.5488089,2.6933855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kr,11,11,16,7027,3003.229085489347,-5974.458170978694,-5864.737928559619,2026-07-23T11:48:11+00:00,0.206,2976.9369,0.78947484,2.2659581,4.0431296,3.014829,2.0603179,1.2895888,0.14450751,1.1046787,1.7175123,2.5115414,3.2024375,3.8274986,0.78940637,0.12280408,0.20207343,0.78947484,0.78947484,0.78947484,0.78947484,0.78947484,0.78947484,0.78947484,0.78947484,0.78947484,0.78947484,0.78947484,2.2659581,2.2659581,2.2659581,2.2659581,2.2659581,2.2659581,2.2659581,2.2659581,2.2659581,4.0431296,3.014829,2.0603179,1.2895888,0.14450751,1.1046787,1.7175123,2.5115414,3.2024375,3.8274986,4.3810854,4.0431296,3.014829,2.0603179,1.2895888,0.14450751,1.1046787,1.7175123,2.5115414,3.2024375,4.3810854,2.2659581,2.2659581,3.8274986,4.3810854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh,11,11,16,7889,4842.205906052431,-9652.41181210486,-9540.84021749534,2026-07-23T11:48:57+00:00,0.226,4819.2287,1.004305,1.9071412,4.1035117,3.9352231,3.2383393,2.272132,1.0722877,1.3231781,2.2220313,3.128362,3.527166,3.7253247,0.75584294,0.17384833,0.22329551,1.004305,1.004305,1.004305,1.004305,1.004305,1.004305,1.004305,1.004305,1.004305,1.004305,1.004305,1.9071412,1.9071412,1.9071412,1.9071412,1.9071412,1.9071412,1.9071412,1.9071412,1.9071412,4.1035117,3.9352231,3.2383393,2.272132,1.0722877,1.3231781,2.2220313,3.128362,3.527166,3.7253247,4.0536807,4.1035117,3.9352231,3.2383393,2.272132,1.0722877,1.3231781,2.2220313,3.128362,3.527166,4.0536807,1.9071412,1.9071412,3.7253247,4.0536807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jf,13,13,18,7167,2512.74683815566,-4989.49367631132,-4865.70331246343,2026-07-23T11:49:34+00:00,0.207,2489.2536,0.82613638,2.2984611,3.0786705,2.8519774,2.6931131,2.223909,1.534316,0.44598704,1.0583823,1.5412275,1.8749182,2.392851,0.58390482,0.11451131,0.20314929,0.82613638,0.82613638,0.82613638,0.82613638,0.82613638,0.82613638,0.82613638,0.82613638,0.82613638,0.82613638,0.82613638,0.82613638,0.82613638,2.2984611,2.2984611,2.2984611,2.2984611,2.2984611,2.2984611,2.2984611,3.0786705,2.8519774,2.6931131,2.223909,1.534316,0.44598704,1.0583823,1.5412275,1.8749182,2.392851,2.4731194,2.6804099,2.6527521,3.0786705,2.8519774,2.6931131,2.223909,1.534316,0.44598704,1.0583823,2.4731194,2.2984611,2.2984611,1.5412275,1.8749182,2.6804099,2.6527521,2.2984611,2.2984611,2.2984611,2.2984611,2.392851,2.4731194,2.6804099,2.6527521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kr,13,13,18,7025,2986.2158217961796,-5936.431643592359,-5813.001494696724,2026-07-23T11:50:04+00:00,0.206,2959.0618,0.79298184,2.2747574,4.0489949,3.1514401,2.5778632,1.736107,1.0194925,0.14533962,1.1125196,1.6120247,2.0865566,2.9421996,0.80360535,0.12329068,0.20156035,0.79298184,0.79298184,0.79298184,0.79298184,0.79298184,0.79298184,0.79298184,0.79298184,0.79298184,0.79298184,0.79298184,0.79298184,0.79298184,2.2747574,2.2747574,2.2747574,2.2747574,2.2747574,2.2747574,2.2747574,4.0489949,3.1514401,2.5778632,1.736107,1.0194925,0.14533962,1.1125196,1.6120247,2.0865566,2.9421996,3.481867,4.0411062,4.4552428,4.0489949,3.1514401,2.5778632,1.736107,1.0194925,0.14533962,1.1125196,3.481867,2.2747574,2.2747574,1.6120247,2.0865566,4.0411062,4.4552428,2.2747574,2.2747574,2.2747574,2.2747574,2.9421996,3.481867,4.0411062,4.4552428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh,13,13,18,7882,4884.88909505915,-9733.7781901183,-9608.276124878712,2026-07-23T11:50:52+00:00,0.226,4860.5035,1.0021376,1.9015954,4.0915984,4.0131696,3.694342,2.7683582,1.9488644,1.0650297,1.313658,2.2091201,2.9606661,3.3909695,0.73231198,0.15984644,0.22355142,1.0021376,1.0021376,1.0021376,1.0021376,1.0021376,1.0021376,1.0021376,1.0021376,1.0021376,1.0021376,1.0021376,1.0021376,1.0021376,1.9015954,1.9015954,1.9015954,1.9015954,1.9015954,1.9015954,1.9015954,4.0915984,4.0131696,3.694342,2.7683582,1.9488644,1.0650297,1.313658,2.2091201,2.9606661,3.3909695,3.6465041,3.6641834,4.0432095,4.0915984,4.0131696,3.694342,2.7683582,1.9488644,1.0650297,1.313658,3.6465041,1.9015954,1.9015954,2.2091201,2.9606661,3.6641834,4.0432095,1.9015954,1.9015954,1.9015954,1.9015954,3.3909695,3.6465041,3.6641834,4.0432095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jf,15,15,20,7155,2548.62756372027,-5057.25512744054,-4919.743793600728,2026-07-23T11:51:35+00:00,0.208,2524.7865,0.81952189,2.2911936,3.0663123,2.9091708,2.7314765,2.5082346,2.0938624,1.1803046,0.096211401,1.058445,1.540366,1.7780824,0.58196622,0.11609208,0.2045585,0.81952189,0.81952189,0.81952189,0.81952189,0.81952189,0.81952189,0.81952189,0.81952189,0.81952189,0.81952189,0.81952189,0.81952189,0.81952189,0.81952189,0.81952189,2.2911936,2.2911936,2.2911936,2.2911936,2.2911936,3.0663123,2.9091708,2.7314765,2.5082346,2.0938624,1.1803046,0.096211401,1.058445,1.540366,1.7780824,2.1135802,2.4879174,2.4746489,2.6272495,2.7353507,3.0663123,2.9091708,2.7314765,2.5082346,2.0938624,2.1135802,2.2911936,2.2911936,1.1803046,0.096211401,2.4879174,2.4746489,2.2911936,2.2911936,2.2911936,2.2911936,1.058445,1.540366,1.7780824,2.1135802,2.6272495,2.7353507,2.2911936,2.2911936,2.2911936,2.2911936,2.4879174,2.4746489,2.6272495,2.7353507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kr,15,15,20,7021,3024.76689380181,-6009.53378760362,-5872.400568863275,2026-07-23T11:52:24+00:00,0.205,2996.5812,0.79072837,2.2707557,4.153408,3.2941557,2.8362458,2.0624971,1.6298787,0.78989343,0.00050102219,1.1057078,1.605284,1.836636,0.78709051,0.11943606,0.20198057,0.79072837,0.79072837,0.79072837,0.79072837,0.79072837,0.79072837,0.79072837,0.79072837,0.79072837,0.79072837,0.79072837,0.79072837,0.79072837,0.79072837,0.79072837,2.2707557,2.2707557,2.2707557,2.2707557,2.2707557,4.153408,3.2941557,2.8362458,2.0624971,1.6298787,0.78989343,0.00050102219,1.1057078,1.605284,1.836636,2.5144786,3.1570899,3.4762901,4.1036234,4.5475746,4.153408,3.2941557,2.8362458,2.0624971,1.6298787,2.5144786,2.2707557,2.2707557,0.78989343,0.00050102219,3.1570899,3.4762901,2.2707557,2.2707557,2.2707557,2.2707557,1.1057078,1.605284,1.836636,2.5144786,4.1036234,4.5475746,2.2707557,2.2707557,2.2707557,2.2707557,3.1570899,3.4762901,4.1036234,4.5475746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh,15,15,20,7881,4878.895891572411,-9717.79178314482,-9578.347581577747,2026-07-23T11:53:14+00:00,0.226,4854.0174,1.0031218,1.9084879,4.1379792,4.0254365,3.7074114,2.9079799,2.6383252,1.6773305,0.72207543,1.3195666,2.0433796,2.6415465,0.74253752,0.16930348,0.22351136,1.0031218,1.0031218,1.0031218,1.0031218,1.0031218,1.0031218,1.0031218,1.0031218,1.0031218,1.0031218,1.0031218,1.0031218,1.0031218,1.0031218,1.0031218,1.9084879,1.9084879,1.9084879,1.9084879,1.9084879,4.1379792,4.0254365,3.7074114,2.9079799,2.6383252,1.6773305,0.72207543,1.3195666,2.0433796,2.6415465,3.27402,3.5381209,3.6583405,3.7115494,4.1606431,4.1379792,4.0254365,3.7074114,2.9079799,2.6383252,3.27402,1.9084879,1.9084879,1.6773305,0.72207543,3.5381209,3.6583405,1.9084879,1.9084879,1.9084879,1.9084879,1.3195666,2.0433796,2.6415465,3.27402,3.7115494,4.1606431,1.9084879,1.9084879,1.9084879,1.9084879,3.5381209,3.6583405,3.7115494,4.1606431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
