param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
log_lik[6624],0.150213,0.000604638,0.0346061,0.0348626,0.0928635,0.150483,0.206323,3281.44,2555.92,0.975296,0.999575,nh,t0_only
log_lik[6625],-0.177773,0.000720407,0.0376274,0.0387706,-0.241861,-0.176362,-0.119693,2490.1,2200.67,0.740096,1.0026,nh,t0_only
log_lik[6626],0.174627,0.000713131,0.0413299,0.0420365,0.106304,0.175162,0.240667,3380.18,2792.29,1.00464,1.00078,nh,t0_only
log_lik[6627],0.174627,0.000713131,0.0413299,0.0420365,0.106304,0.175162,0.240667,3380.18,2792.29,1.00464,1.00078,nh,t0_only
log_lik[6628],0.0906615,0.00060137,0.0346457,0.0348051,0.0331144,0.0908252,0.14678,3321.61,2530.3,0.987236,0.999525,nh,t0_only
log_lik[6629],0.174627,0.000713131,0.0413299,0.0420365,0.106304,0.175162,0.240667,3380.18,2792.29,1.00464,1.00078,nh,t0_only
log_lik[6630],0.356797,0.000600861,0.0344192,0.0344768,0.300441,0.35695,0.412248,3291.9,2328.91,0.978405,0.999664,nh,t0_only
log_lik[6631],-0.961132,0.00110115,0.081286,0.0807219,-1.09891,-0.959983,-0.832983,5451.1,3305.7,1.62015,1.00085,nh,t0_only
log_lik[6632],0.490228,0.000569197,0.0341787,0.0341956,0.434591,0.490453,0.545282,3626.89,2474.72,1.07797,1.00036,nh,t0_only
log_lik[6633],-0.171286,0.000648281,0.0477369,0.0485448,-0.250852,-0.169987,-0.0965298,5405.34,3579.26,1.60655,1.00018,nh,t0_only
log_lik[6634],-0.107149,0.000702179,0.0450424,0.0461872,-0.181058,-0.105793,-0.0346333,4133.31,2961.72,1.22848,1.001,nh,t0_only
log_lik[6635],-2.38457,0.00104906,0.0459889,0.0460298,-2.45902,-2.38535,-2.30759,1943.92,2934.09,0.577764,1.00052,nh,t0_only
log_lik[6636],-0.0149146,0.000634149,0.0447396,0.0458533,-0.0897662,-0.0131167,0.0574536,4984.99,3179.63,1.48162,1.00055,nh,t0_only
log_lik[6637],-0.233687,0.000839275,0.0519796,0.051693,-0.320753,-0.233444,-0.148354,3882.04,2814.87,1.1538,1.00106,nh,t0_only
log_lik[6638],-0.212881,0.000576453,0.0350397,0.0347943,-0.272342,-0.212305,-0.156093,3692.36,2791.28,1.09743,0.999696,nh,t0_only
log_lik[6639],0.134105,0.000721879,0.0415053,0.0419482,0.0648476,0.1345,0.200435,3328.47,2772.76,0.989275,1.00099,nh,t0_only
log_lik[6640],-1.1607,0.00111524,0.0839184,0.0832317,-1.30273,-1.15909,-1.02559,5722.1,3336.83,1.7007,1.00176,nh,t0_only
log_lik[6641],0.576169,0.000712142,0.0381134,0.0388913,0.510383,0.577942,0.63554,2560.21,1760.56,0.760935,1.00195,nh,t0_only
log_lik[6642],0.295869,0.000658996,0.0410554,0.0410909,0.228263,0.295581,0.362812,3901.37,2966.04,1.15955,0.999705,nh,t0_only
log_lik[6643],-0.0859689,0.00069473,0.0448803,0.0461259,-0.160087,-0.084469,-0.0134573,4192.02,2984.0,1.24594,1.00097,nh,t0_only
log_lik[6644],0.0521913,0.000732575,0.0374206,0.0385413,-0.0113278,0.0541133,0.109941,2346.73,2105.79,0.697485,1.00204,nh,t0_only
log_lik[6645],-1.17735,0.00106127,0.0793863,0.0796954,-1.309,-1.17704,-1.04729,5650.99,3393.77,1.67956,1.00131,nh,t0_only
log_lik[6646],0.406814,0.000736704,0.0376876,0.0390088,0.343419,0.408132,0.464743,2333.19,1641.42,0.693462,1.00221,nh,t0_only
log_lik[6647],-0.278843,0.000865644,0.0524294,0.0516348,-0.366003,-0.278702,-0.19375,3713.82,2763.66,1.10381,1.00111,nh,t0_only
log_lik[6648],-0.833334,0.000979183,0.0584203,0.0589173,-0.932043,-0.83307,-0.737683,3553.43,2748.41,1.05614,1.00124,nh,t0_only
log_lik[6649],0.0393316,0.000735929,0.0419036,0.0423337,-0.0308649,0.0398151,0.10511,3256.85,2802.59,0.967987,1.00122,nh,t0_only
log_lik[6650],-1.35582,0.000865767,0.0500722,0.0510126,-1.43868,-1.35499,-1.27367,3386.99,2663.89,1.00667,1.00202,nh,t0_only
log_lik[6651],-0.422748,0.000749503,0.0438956,0.0447726,-0.4958,-0.421025,-0.352359,3479.15,2662.84,1.03406,1.00119,nh,t0_only
log_lik[6652],-0.395305,0.00074944,0.0437616,0.0447115,-0.467976,-0.393432,-0.325019,3457.55,2644.31,1.02764,1.00114,nh,t0_only
log_lik[6653],0.377845,0.000738465,0.0376511,0.038847,0.314717,0.379406,0.435776,2322.08,1725.32,0.690159,1.00216,nh,t0_only
log_lik[6654],-0.0368412,0.000671779,0.0445354,0.0459464,-0.110374,-0.035013,0.0354263,4407.87,3041.8,1.31009,1.00088,nh,t0_only
log_lik[6655],-0.20112,0.000768022,0.0520694,0.0521664,-0.289592,-0.200759,-0.1159,4673.95,3214.88,1.38917,1.00072,nh,t0_only
log_lik[6656],-0.359798,0.00071389,0.0381392,0.0388051,-0.425392,-0.358497,-0.300362,2636.19,2389.47,0.783519,1.00245,nh,t0_only
log_lik[6657],0.455164,0.000582474,0.0342459,0.0343901,0.399295,0.455541,0.510271,3477.02,2463.24,1.03343,1.00013,nh,t0_only
log_lik[6658],0.295857,0.000662369,0.0409776,0.0409984,0.228639,0.295986,0.362562,3847.62,2898.17,1.14357,0.999778,nh,t0_only
log_lik[6659],-0.324667,0.000569378,0.0353422,0.0348578,-0.384028,-0.324224,-0.266552,3847.59,2695.89,1.14356,0.999817,nh,t0_only
log_lik[6660],-3.04257,0.000651269,0.0398275,0.0399957,-3.10936,-3.04183,-2.97847,3799.71,2853.7,1.12933,1.0039,nh,t0_only
log_lik[6661],-1.08121,0.00106564,0.0810967,0.081163,-1.2182,-1.08019,-0.950077,5865.16,3551.62,1.74322,1.00211,nh,t0_only
log_lik[6662],-1.7421,0.000831062,0.0509393,0.0510112,-1.82761,-1.74109,-1.6584,3761.78,2770.55,1.11806,1.00073,nh,t0_only
log_lik[6663],-3.06412,0.000737454,0.0424474,0.0419851,-3.13591,-3.06296,-2.9959,3356.72,2643.61,0.997671,1.00349,nh,t0_only
