param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
log_lik[625],0.314574,0.00124065,0.0800157,0.0771106,0.174063,0.318886,0.439617,4186.94,3011.61,18.138,1.00112,2,c_only
log_lik[626],0.925938,0.000823133,0.0367406,0.0361799,0.864538,0.926612,0.985876,2013.11,2671.13,8.72087,1.00121,2,c_only
log_lik[627],1.54795,0.00135041,0.0715501,0.0718792,1.42594,1.54929,1.66226,2823.58,3360.15,12.2319,1.00082,2,c_only
log_lik[628],-1.38124,0.0025542,0.134708,0.138069,-1.59766,-1.38217,-1.15779,2801.79,2896.69,12.1375,1.00106,2,c_only
log_lik[629],1.14974,0.000676974,0.0392626,0.0387925,1.08408,1.15003,1.21305,3390.46,3271.73,14.6876,1.0004,2,c_only
log_lik[630],0.945888,0.000756576,0.0379302,0.0376978,0.882371,0.947124,1.00754,2578.62,2903.7,11.1707,1.00141,2,c_only
log_lik[631],1.11424,0.000842627,0.0523099,0.0520917,1.02709,1.11496,1.19803,3927.41,3256.25,17.0137,1.00083,2,c_only
log_lik[632],0.945663,0.000757664,0.037895,0.0377413,0.882212,0.946894,1.00727,2566.42,2948.82,11.1178,1.00144,2,c_only
log_lik[633],1.14031,0.000755252,0.0477973,0.0474429,1.06065,1.14068,1.21798,4045.77,3103.51,17.5264,1.00066,2,c_only
log_lik[634],0.851843,0.000940152,0.057674,0.058079,0.752244,0.851642,0.944455,3830.95,3117.18,16.5958,1.00012,2,c_only
log_lik[635],0.815199,0.00213188,0.130437,0.129704,0.597038,0.81888,1.01807,3768.48,3346.06,16.3252,1.00069,2,c_only
log_lik[636],-1.3614,0.00277927,0.134681,0.135723,-1.59511,-1.35587,-1.14816,2406.71,2421.9,10.426,1.00092,2,c_only
log_lik[637],1.76971,0.00130974,0.0702383,0.0712406,1.65198,1.77261,1.87964,2958.75,3127.89,12.8174,1.00054,2,c_only
log_lik[638],0.853817,0.00102035,0.0457653,0.0466994,0.777778,0.855012,0.92659,1979.01,2654.84,8.57316,1.00197,2,c_only
log_lik[639],0.659512,0.00137742,0.0756825,0.0746069,0.529246,0.660858,0.782071,3044.44,3046.01,13.1887,1.00025,2,c_only
log_lik[640],-1.6618,0.00251619,0.124074,0.124147,-1.8697,-1.65747,-1.46091,2449.41,2695.24,10.6109,1.00166,2,c_only
log_lik[641],0.0266319,0.0027844,0.178887,0.179465,-0.272632,0.0262217,0.313641,4198.64,2696.7,18.1887,1.00113,2,c_only
log_lik[642],0.644859,0.00103323,0.0468189,0.0473725,0.565637,0.646464,0.717988,2062.6,2750.69,8.93528,1.00116,2,c_only
log_lik[643],1.12842,0.000797403,0.0500938,0.0497014,1.04419,1.12886,1.20886,4011.23,3144.86,17.3768,1.00076,2,c_only
log_lik[644],0.908296,0.000860792,0.0367021,0.0364969,0.846835,0.908722,0.96782,1809.98,2473.44,7.8409,1.00136,2,c_only
log_lik[645],1.88417,0.000895819,0.0519023,0.0512919,1.79668,1.88406,1.96944,3353.95,3215.4,14.5295,1.00088,2,c_only
log_lik[646],0.0376969,0.00113902,0.0779967,0.0770998,-0.0940764,0.0402967,0.164326,4741.01,3578.83,20.5382,1.00042,2,c_only
log_lik[647],1.96304,0.000787992,0.0515993,0.0508358,1.87825,1.96341,2.04829,4300.99,3013.39,18.6321,1.00086,2,c_only
