param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
log_lik[620],-1.07419,0.00156554,0.0967834,0.0949547,-1.23871,-1.07204,-0.915885,3845.49,3572.91,23.864,1.00116,2,t0_only
log_lik[621],0.874234,0.00197342,0.108767,0.106547,0.684975,0.880852,1.04123,3087.57,3040.58,19.1605,1.00114,2,t0_only
log_lik[622],0.960983,0.00115911,0.0578461,0.0575808,0.865254,0.961941,1.05694,2499.84,2830.32,15.5133,1.00036,2,t0_only
log_lik[623],0.449917,0.00141609,0.0730104,0.0723925,0.326934,0.45136,0.568645,2672.43,3081.63,16.5843,1.00116,2,t0_only
log_lik[624],1.29932,0.000942623,0.0473619,0.046597,1.21746,1.30138,1.37356,2559.81,2568.05,15.8854,1.00042,2,t0_only
log_lik[625],0.158096,0.00124775,0.0754615,0.074783,0.0310053,0.160119,0.279022,3704.0,3268.86,22.9859,1.00213,2,t0_only
log_lik[626],1.21371,0.000775655,0.0448799,0.0445477,1.13863,1.21421,1.28745,3375.63,2798.21,20.9482,1.00054,2,t0_only
log_lik[627],1.23909,0.000634166,0.0396644,0.0406069,1.17459,1.23862,1.30442,3962.89,2461.38,24.5925,1.00082,2,t0_only
log_lik[628],-1.58949,0.00210673,0.108728,0.109729,-1.7762,-1.5855,-1.41559,2664.27,3017.0,16.5337,1.00124,2,t0_only
log_lik[629],1.32724,0.000562016,0.0361746,0.0359275,1.26785,1.32697,1.38838,4184.6,2534.64,25.9684,1.00035,2,t0_only
log_lik[630],1.28856,0.000607633,0.0392921,0.0384303,1.22199,1.28887,1.3529,4236.05,3087.93,26.2877,1.00045,2,t0_only
log_lik[631],1.28758,0.000891273,0.0486745,0.0489985,1.20565,1.2878,1.36534,3034.69,3323.82,18.8324,1.00038,2,t0_only
log_lik[632],1.28748,0.000610194,0.0393785,0.0385853,1.22108,1.28778,1.35196,4222.55,3087.93,26.2039,1.00049,2,t0_only
log_lik[633],1.3279,0.000724723,0.0412285,0.0418711,1.26007,1.32832,1.3948,3275.29,2849.54,20.3255,1.00012,2,t0_only
log_lik[634],1.16515,0.00142456,0.0705174,0.0685293,1.04103,1.16959,1.27113,2490.68,2742.97,15.4564,1.00166,2,t0_only
log_lik[635],1.05391,0.000765475,0.0446718,0.0465055,0.980775,1.0532,1.12815,3439.44,3022.21,21.3442,0.999948,2,t0_only
log_lik[636],-0.281368,0.0011396,0.0718399,0.0699237,-0.405697,-0.278467,-0.166838,4053.74,3268.21,25.1563,1.00029,2,t0_only
log_lik[637],1.3409,0.000688959,0.0405922,0.0405372,1.27423,1.3411,1.40692,3506.37,3119.61,21.7595,0.999759,2,t0_only
log_lik[638],0.860265,0.00109996,0.056847,0.0559506,0.762404,0.862636,0.951673,2749.85,3023.17,17.0648,1.00084,2,t0_only
log_lik[639],0.61527,0.00229122,0.138626,0.135299,0.375142,0.623227,0.828177,3731.7,3151.53,23.1578,1.00167,2,t0_only
log_lik[640],-1.81949,0.00284385,0.134541,0.132559,-2.05254,-1.81358,-1.60654,2266.38,2515.63,14.0645,1.00148,2,t0_only
log_lik[641],0.850088,0.000844275,0.0489168,0.0506241,0.768749,0.850013,0.930346,3401.95,3300.55,21.1115,0.999827,2,t0_only
log_lik[642],0.54037,0.00139707,0.0707498,0.0699452,0.421245,0.5416,0.656626,2577.04,2854.89,15.9924,1.00097,2,t0_only
log_lik[643],1.31024,0.000807462,0.0447001,0.0454745,1.2362,1.31036,1.38205,3113.26,3212.2,19.32,1.00035,2,t0_only
log_lik[644],1.15932,0.000886345,0.0483339,0.0486377,1.07908,1.15959,1.23793,3023.87,2721.54,18.7653,1.00071,2,t0_only
log_lik[645],1.33355,0.00055206,0.0362674,0.0367597,1.27397,1.33368,1.39244,4404.08,2129.39,27.3304,1.00239,2,t0_only
log_lik[646],-0.546645,0.0015215,0.0946821,0.0929545,-0.707906,-0.542208,-0.396591,3911.43,3517.23,24.2732,1.00039,2,t0_only
log_lik[647],1.36421,0.000545399,0.0353217,0.0349824,1.30468,1.36432,1.42284,4242.7,2091.37,26.329,1.00011,2,t0_only
log_lik[648],1.31011,0.000559719,0.0375998,0.0367724,1.24631,1.31033,1.37215,4562.63,2467.63,28.3143,1.00045,2,t0_only
log_lik[649],1.16089,0.000697827,0.0419952,0.0434597,1.09272,1.1604,1.23052,3657.68,2644.97,22.6985,1.00027,2,t0_only
log_lik[650],-0.443398,0.00150792,0.0928206,0.0916255,-0.603405,-0.43893,-0.296698,3827.59,3514.84,23.7529,1.00055,2,t0_only
log_lik[651],1.16716,0.00100581,0.0626797,0.0618945,1.06049,1.16859,1.26728,3896.32,3189.26,24.1794,1.00021,2,t0_only
log_lik[652],0.930081,0.00106017,0.0545949,0.053984,0.835358,0.932309,1.01725,2729.31,2886.78,16.9373,1.00037,2,t0_only
log_lik[653],0.825847,0.000850538,0.0493854,0.0508443,0.743889,0.825758,0.906647,3417.53,3411.4,21.2082,0.999937,2,t0_only
