param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
log_lik[207],0.166796,0.00212888,0.125387,0.125159,-0.0407607,0.168339,0.368218,3590.31,3183.81,31.7238,1.00189,2,d_only
log_lik[208],-0.0484873,0.00103357,0.0595643,0.0568962,-0.151653,-0.0444683,0.0419112,3401.27,3588.57,30.0534,1.00005,2,d_only
log_lik[209],0.944545,0.00102932,0.0600478,0.060716,0.848179,0.943561,1.04301,3501.66,3102.88,30.9405,1.00089,2,d_only
log_lik[210],1.11441,0.00129764,0.0715443,0.0700396,0.996198,1.11415,1.23062,3155.87,2859.5,27.8851,1.00112,2,d_only
log_lik[211],0.666064,0.000816131,0.0487389,0.0478465,0.585744,0.665671,0.745345,3683.03,2445.58,32.5431,1.00096,2,d_only
log_lik[212],1.43024,0.00102638,0.0503354,0.0486566,1.34625,1.43155,1.5102,2473.67,2621.02,21.8572,1.00132,2,d_only
log_lik[213],0.775721,0.0012911,0.0647399,0.0627954,0.671866,0.773514,0.882145,2614.81,2444.03,23.1044,1.00049,2,d_only
log_lik[214],0.604258,0.000757878,0.0444331,0.043771,0.53175,0.603999,0.676983,3503.17,2550.29,30.9538,1.00124,2,d_only
log_lik[215],0.811822,0.00118942,0.0638982,0.0617146,0.709074,0.811272,0.917677,2948.31,2538.7,26.0511,1.00077,2,d_only
log_lik[216],0.766827,0.00101215,0.0579503,0.056272,0.671296,0.767305,0.861034,3346.87,2454.47,29.5727,1.0009,2,d_only
log_lik[217],0.4998,0.000710176,0.039547,0.039853,0.434658,0.499799,0.565687,3169.34,2870.9,28.0042,1.00165,2,d_only
log_lik[218],0.813895,0.00125269,0.0654392,0.0632755,0.709032,0.81299,0.922008,2802.83,2589.48,24.7656,1.0007,2,d_only
log_lik[219],1.22574,0.00109819,0.0661649,0.0573721,1.10453,1.23478,1.31656,3712.01,3135.13,32.7992,1.00057,2,d_only
log_lik[220],0.218849,0.000797827,0.0428755,0.042989,0.146878,0.220066,0.285598,2961.49,3073.17,26.1676,1.00085,2,d_only
log_lik[221],1.0986,0.00129346,0.0724203,0.0714908,0.981898,1.09803,1.21794,3258.93,2684.48,28.7958,1.001,2,d_only
log_lik[222],0.363888,0.000723976,0.038303,0.0383507,0.299803,0.363662,0.427428,2867.79,3100.26,25.3396,1.00157,2,d_only
log_lik[223],0.8065,0.00115431,0.062931,0.061258,0.704674,0.806283,0.911885,3034.71,2425.18,26.8146,1.00087,2,d_only
log_lik[224],0.44952,0.000705434,0.0383913,0.0386051,0.386252,0.449642,0.513675,3019.46,2911.49,26.6798,1.00173,2,d_only
log_lik[225],0.762801,0.00209746,0.122007,0.12484,0.56667,0.762342,0.962415,3416.82,3233.65,30.1909,0.999876,2,d_only
log_lik[226],1.11215,0.001313,0.0728686,0.0716746,0.993846,1.11148,1.23275,3201.77,2715.12,28.2907,1.00106,2,d_only
log_lik[227],0.968058,0.00106633,0.0619503,0.0620206,0.867856,0.966654,1.07084,3476.45,2958.49,30.7178,1.0009,2,d_only
log_lik[228],0.709927,0.0008914,0.0523861,0.0509753,0.624388,0.710626,0.794899,3586.17,2525.69,31.6872,1.00076,2,d_only
log_lik[229],0.945532,0.00103084,0.0601265,0.0608631,0.849117,0.944483,1.04429,3500.78,3128.57,30.9327,1.00089,2,d_only
log_lik[230],0.941569,0.00102475,0.0598116,0.0603806,0.845522,0.94044,1.03933,3507.59,3052.97,30.9929,1.00088,2,d_only
log_lik[231],0.439751,0.000705973,0.0382619,0.0385262,0.376606,0.439907,0.503487,2996.12,2934.15,26.4735,1.00173,2,d_only
log_lik[232],1.503,0.00128309,0.064019,0.0641339,1.3935,1.50733,1.59983,2610.14,2422.88,23.063,0.999515,2,d_only
log_lik[233],0.682246,0.000794666,0.0468772,0.0465417,0.605931,0.681938,0.760115,3488.52,2924.16,30.8244,1.00044,2,d_only
log_lik[234],1.36999,0.00211419,0.117379,0.119798,1.18127,1.3677,1.56963,3080.89,2760.91,27.2226,1.0,2,d_only
log_lik[235],0.750434,0.000974125,0.0562301,0.0546122,0.658094,0.751161,0.842185,3431.41,2510.36,30.3198,1.00057,2,d_only
log_lik[236],0.813046,0.00120018,0.0641791,0.0619813,0.710125,0.812474,0.919648,2925.33,2553.99,25.8481,1.00083,2,d_only
log_lik[237],0.172158,0.000826309,0.0452779,0.0453187,0.0955479,0.17452,0.242149,3077.54,3081.16,27.193,1.00066,2,d_only
log_lik[238],0.19771,0.000806406,0.0439203,0.0443166,0.123519,0.199632,0.266711,3041.99,3074.01,26.8789,1.00075,2,d_only
log_lik[239],0.0784973,0.0013399,0.0835821,0.0798382,-0.0675783,0.0834753,0.202165,3934.56,3417.0,34.7655,1.00005,2,d_only
log_lik[240],0.673174,0.000793213,0.0468012,0.046597,0.596928,0.672948,0.750564,3487.91,2826.38,30.819,1.00041,2,d_only
log_lik[241],0.996309,0.00100835,0.0575164,0.0567811,0.901045,0.99688,1.08966,3271.9,3121.56,28.9103,1.00137,2,d_only
log_lik[242],0.814108,0.00125089,0.0654077,0.063177,0.709204,0.813206,0.92212,2808.6,2589.68,24.8167,1.00068,2,d_only
log_lik[243],0.183361,0.000816895,0.0446708,0.0451822,0.10807,0.185326,0.252592,3063.64,3227.88,27.0702,1.00069,2,d_only
log_lik[244],1.09104,0.00128018,0.071958,0.071408,0.974757,1.09018,1.20983,3279.83,2666.62,28.9805,1.00098,2,d_only
log_lik[245],0.564967,0.000737632,0.042223,0.0415496,0.495936,0.564502,0.634542,3360.63,2694.66,29.6944,1.00142,2,d_only
log_lik[246],-0.306886,0.00406062,0.194747,0.208442,-0.601909,-0.319325,0.03513,2439.38,2090.6,21.5542,1.00043,2,d_only
log_lik[247],0.923284,0.000997285,0.0583865,0.0587013,0.82933,0.922276,1.01882,3513.83,3077.13,31.0481,1.00089,2,d_only
log_lik[248],1.48492,0.00202559,0.110126,0.113071,1.30652,1.48491,1.66711,3000.88,2746.26,26.5156,1.00035,2,d_only
log_lik[249],1.03774,0.00108352,0.0608161,0.0598033,0.937365,1.03729,1.13659,3181.03,2775.9,28.1074,1.0014,2,d_only
log_lik[250],-0.663296,0.00132102,0.0706692,0.0708212,-0.781151,-0.662492,-0.548389,2917.52,2758.43,25.7791,1.00015,2,d_only
log_lik[251],1.51755,0.00195867,0.104938,0.108384,1.34618,1.51702,1.68995,2922.91,2546.3,25.8267,1.00022,2,d_only
log_lik[252],1.06713,0.00123707,0.0701987,0.0702242,0.953322,1.06614,1.18379,3337.44,2724.36,29.4894,1.00096,2,d_only
log_lik[253],0.182296,0.000817782,0.0447277,0.0451686,0.106848,0.184268,0.251473,3066.02,3145.52,27.0912,1.00069,2,d_only
log_lik[254],0.333533,0.00101378,0.0618652,0.0592821,0.227586,0.337641,0.428368,3730.57,3324.93,32.9631,1.00001,2,d_only
log_lik[255],1.43537,0.00207373,0.114389,0.11777,1.25096,1.43413,1.62517,3058.13,2748.5,27.0215,1.00001,2,d_only
log_lik[256],-0.24364,0.00170055,0.108007,0.105713,-0.434094,-0.238255,-0.0776124,4070.48,3373.82,35.9665,1.00062,2,d_only
log_lik[257],1.0258,0.00105984,0.059725,0.0591646,0.927561,1.02599,1.12291,3197.92,2950.38,28.2567,1.00141,2,d_only
log_lik[258],0.993473,0.00212086,0.12097,0.123733,0.797794,0.991074,1.19549,3276.28,3146.28,28.9491,0.999712,2,d_only
log_lik[259],1.09565,0.00128833,0.0722493,0.0716377,0.979071,1.09493,1.21491,3266.95,2704.1,28.8666,1.00099,2,d_only
log_lik[260],0.18408,0.00212894,0.125463,0.125349,-0.02305,0.185753,0.385649,3583.77,3132.05,31.666,1.00171,2,d_only
log_lik[261],0.78354,0.00106126,0.0598469,0.0583532,0.684782,0.783757,0.881504,3246.35,2502.92,28.6846,1.00093,2,d_only
log_lik[262],0.800389,0.00128679,0.0656193,0.0634511,0.694939,0.798704,0.907518,2689.93,2557.0,23.7681,1.00043,2,d_only
log_lik[263],-1.18216,0.00126728,0.0712584,0.0700176,-1.30112,-1.18191,-1.06469,3261.4,2735.49,28.8176,1.00218,2,d_only
log_lik[264],0.813701,0.00125417,0.0654641,0.0633594,0.708816,0.81284,0.921966,2798.7,2589.48,24.7292,1.00068,2,d_only
log_lik[265],0.81506,0.00123087,0.0649909,0.0630297,0.711269,0.814086,0.921503,2857.33,2590.44,25.2472,1.0008,2,d_only
log_lik[266],1.1176,0.00144853,0.0866329,0.0736825,0.948654,1.13379,1.22961,3671.69,3262.49,32.4429,1.00028,2,d_only
log_lik[267],0.0537763,0.00430623,0.222156,0.233653,-0.327003,0.0646527,0.403628,2635.4,2272.26,23.2863,1.00005,2,d_only
log_lik[268],1.10197,0.00129921,0.0725968,0.0715878,0.984594,1.10153,1.22127,3247.45,2703.89,28.6943,1.00102,2,d_only
log_lik[269],0.612145,0.0020888,0.123159,0.125055,0.411493,0.612877,0.812006,3512.63,3233.98,31.0374,1.00023,2,d_only
log_lik[270],1.52675,0.00192703,0.102627,0.105936,1.35916,1.52619,1.69378,2892.78,2463.85,25.5604,1.00021,2,d_only
log_lik[271],1.06184,0.00122752,0.069778,0.0694807,0.948965,1.06069,1.17704,3350.27,2743.37,29.6028,1.00095,2,d_only
log_lik[272],1.36105,0.00211788,0.117658,0.119621,1.17201,1.35831,1.56154,3083.97,2741.45,27.2498,1.0,2,d_only
log_lik[273],1.17097,0.00126778,0.0762654,0.0657751,1.02557,1.1832,1.27196,3715.83,3472.43,32.8329,1.00014,2,d_only
