param,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,participant_id,model
log_lik[71],-1.11066,0.00510473,0.29336,0.296429,-1.59536,-1.10548,-0.648026,3382.63,2483.45,20.9916,0.999975,2,t0_only
log_lik[72],1.11692,0.000728275,0.0431532,0.0449722,1.04696,1.11637,1.18867,3535.6,3065.02,21.9409,1.00002,2,t0_only
log_lik[73],0.54263,0.00238164,0.146724,0.143538,0.287308,0.550927,0.769173,3871.62,3075.48,24.0261,1.00138,2,t0_only
log_lik[74],1.32971,0.000554606,0.0364133,0.0369986,1.27021,1.32973,1.38874,4393.05,2194.67,27.262,1.00246,2,t0_only
log_lik[75],1.25963,0.000858731,0.0512098,0.0496824,1.17352,1.25999,1.34363,3586.65,3417.97,22.2577,1.00027,2,t0_only
log_lik[76],-0.261095,0.00352684,0.232468,0.229313,-0.668062,-0.248574,0.0935193,4479.97,2683.13,27.8014,1.00067,2,t0_only
log_lik[77],1.23801,0.00063512,0.0396994,0.0406328,1.17347,1.23764,1.30345,3956.49,2404.46,24.5528,1.00078,2,t0_only
log_lik[78],1.34546,0.000676442,0.0399514,0.0398416,1.28001,1.34563,1.41076,3526.95,2910.85,21.8872,0.999747,2,t0_only
log_lik[79],-1.48148,0.00581943,0.272867,0.278008,-1.91153,-1.49331,-1.01524,2210.87,2944.17,13.72,1.00111,2,t0_only
log_lik[80],0.844802,0.0012606,0.062035,0.0621954,0.741,0.845196,0.945576,2434.48,2720.13,15.1077,1.00041,2,t0_only
log_lik[81],0.182172,0.000956463,0.0620026,0.0616499,0.0774638,0.18408,0.282162,4265.01,3364.6,26.4674,0.99998,2,t0_only
log_lik[82],1.23182,0.00104892,0.0573973,0.0581447,1.13396,1.23331,1.32239,3044.8,3720.91,18.8952,1.0008,2,t0_only
log_lik[83],0.787382,0.00167107,0.109112,0.1079,0.601979,0.794769,0.957519,4278.21,3585.37,26.5493,1.00054,2,t0_only
log_lik[84],1.01313,0.00143519,0.0862171,0.0863666,0.864349,1.0162,1.15113,3654.69,3246.73,22.6799,1.00126,2,t0_only
log_lik[85],1.33934,0.000564442,0.0359204,0.0348719,1.27974,1.33919,1.4,4098.89,2500.32,25.4365,1.00027,2,t0_only
log_lik[86],1.21797,0.000766992,0.0445884,0.044177,1.14313,1.2183,1.29104,3408.65,2883.41,21.1531,1.00048,2,t0_only
